Meta:worker_code,about_how_many_kilometers_miles_did_you_drive_in_the_last_12_months,at_which_age_did_you_obtain_your_first_license_for_driving_a_car_or_motorcycle,have_you_read_and_understood_the_above_instructions,how_many_accidents_were_you_involved_in_when_driving_a_car_in_the_last_3_years_please_include_all_accidents_regardless_of_how_they_were_caused_how_slight_they_were_or_where_they_happened,how_often_do_you_do_the_following_becoming_angered_by_a_particular_type_of_driver_and_indicate_your_hostility_by_whatever_means_you_can,how_often_do_you_do_the_following_disregarding_the_speed_limit_on_a_motorway,how_often_do_you_do_the_following_disregarding_the_speed_limit_on_a_residential_road,how_often_do_you_do_the_following_driving_so_close_to_the_car_in_front_that_it_would_be_difficult_to_stop_in_an_emergency,how_often_do_you_do_the_following_racing_away_from_traffic_lights_with_the_intention_of_beating_the_driver_next_to_you,how_often_do_you_do_the_following_sounding_your_horn_to_indicate_your_annoyance_with_another_road_user,how_often_do_you_do_the_following_using_a_mobile_phone_without_a_hands_free_kit,if_you_answered_other_in_the_previous_question_please_describe_the_place_where_you_are_located_now_below,if_you_answered_other_in_the_previous_question_please_describe_your_input_device_below,in_which_type_of_place_are_you_located_now,in_which_year_do_you_think_that_most_cars_will_be_able_to_drive_fully_automatically_in_your_country_of_residence,on_average_how_often_did_you_drive_a_vehicle_in_the_last_12_months,please_provide_any_suggestions_that_could_help_engineers_to_build_safe_and_enjoyable_automated_cars,what_is_your_age,what_is_your_gender,what_is_your_primary_mode_of_transportation,which_input_device_are_you_using_now,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209
U71606163451089DF619B,0_km__mi,,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,san carlos,other,indoor_dark,2020,every_day,,19,female,private_vehicle,laptop_keyboard,,,,,,,,96.0,57.0,,,96.0,,93.0,98.0,,99.0,87.0,,60.0,59.0,100.0,96.0,66.0,,100.0,,,,88.0,,97.0,96.0,95.0,,,,,,97.0,,,,,95.0,,,96.0,,,100.0,,96.0,,97.0,98.0,60.0,60.0,,96.0,98.0,,99.0,,,,,,55.0,,100.0,97.0,,,,,,,60.0,96.0,91.0,100.0,97.0,94.0,,59.0,,,,95.0,,,,97.0,98.0,,98.0,,,97.0,,,78.0,98.0,94.0,,96.0,,97.0,,97.0,79.0,,,91.0,,,97.0,,97.0,,56.0,93.0,,,81.0,,,93.0,88.0,100.0,,,94.0,95.0,,100.0,,,98.0,99.0,99.0,,92.0,97.0,98.0,,,100.0,95.0,,,87.0,,100.0,,,,96.0,,97.0,,100.0,97.0,,,,,96.0,100.0,97.0,98.0,80.0,95.0,,100.0,,,96.0,98.0,,,96.0,,,98.0,97.0,97.0,,96.0,100.0,,,95.0,,94.0,,60.0,98.0,,,,,97.0,96.0,98.0,,100.0,,
U71606161754115DF29769B,1001__5000_km_622__3107_mi,25.0,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,1_to_3_times_per_month,0_times_per_month,7_to_9_times_per_month,7_to_9_times_per_month,,,indoor_dimlight,2030,1_to_3_days_a_week,,25,male,private_vehicle,desktop_keyboard,,,46.0,21.0,,,,,,,,,23.0,23.0,,16.0,,52.0,,,,39.0,36.0,,16.0,9.0,,24.0,23.0,,,48.0,,25.0,27.0,36.0,,,,47.0,29.0,4.0,31.0,,42.0,49.0,35.0,45.0,33.0,,40.0,,44.0,,,30.0,,4.0,26.0,,35.0,,,,46.0,9.0,,15.0,24.0,,,,32.0,,,,10.0,,,,25.0,,28.0,,,,26.0,36.0,,39.0,,,51.0,,,47.0,,59.0,34.0,35.0,36.0,6.0,,7.0,,57.0,,8.0,30.0,23.0,,45.0,57.0,,,25.0,,9.0,,,19.0,9.0,,,30.0,,12.0,10.0,,15.0,,,,46.0,,,,,,38.0,,,,17.0,,,,26.0,43.0,,,,33.0,16.0,38.0,,20.0,27.0,9.0,32.0,,7.0,14.0,13.0,,21.0,,14.0,25.0,53.0,,40.0,,29.0,54.0,,,28.0,,,16.0,,1.0,,,,,,49.0,,33.0,,40.0,,62.0,34.0,6.0,,38.0,,22.0,52.0,,,,6.0,29.0,,,
U71606161798837DF92629B,20001__25000_km_12428__15534_mi,,yes,0,0_times_per_month,1_to_3_times_per_month,1_to_3_times_per_month,0_times_per_month,0_times_per_month,1_to_3_times_per_month,10_or_more_times_per_month,,,indoor_brightlight,2030,1_to_3_days_a_week,более мощный бортовой компьютер и автопилот,41,male,public_transportation,desktop_keyboard,,,,59.0,13.0,2.0,,,20.0,0.0,13.0,19.0,,36.0,,0.0,30.0,,60.0,,66.0,19.0,,,11.0,4.0,17.0,1.0,19.0,,,7.0,,0.0,,12.0,,,15.0,,,28.0,,,,,,18.0,4.0,17.0,13.0,20.0,5.0,15.0,,,,0.0,,,,,65.0,72.0,,,14.0,,8.0,10.0,7.0,,39.0,16.0,20.0,,,13.0,0.0,,,,0.0,,60.0,,3.0,11.0,,30.0,,59.0,,10.0,,10.0,,,,0.0,18.0,6.0,39.0,,,,,,,12.0,,12.0,,3.0,,,16.0,,,,,20.0,10.0,,11.0,12.0,,6.0,,,,39.0,6.0,12.0,,5.0,,1.0,,7.0,8.0,,18.0,,12.0,,,,,0.0,18.0,,39.0,39.0,,0.0,,,14.0,4.0,,,19.0,,4.0,9.0,,17.0,31.0,,,,6.0,,11.0,0.0,,13.0,,,14.0,0.0,,,,,20.0,,,,,,,19.0,61.0,,20.0,,,,0.0,,,,5.0,19.0,11.0,1.0,,19.0
U71606161690139DF76149B,0_km__mi,,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,,,indoor_brightlight,2050,never,,22,female,other,laptop_keyboard,62.0,65.0,69.0,,,,,72.0,,,45.0,,,65.0,,,69.0,79.0,74.0,77.0,,,,,,,64.0,,,76.0,,70.0,49.0,,,57.0,,,80.0,,,,,,,,59.0,48.0,,,,,,,69.0,48.0,59.0,60.0,,,64.0,86.0,59.0,,,52.0,66.0,,,,,,60.0,,75.0,73.0,,60.0,77.0,73.0,83.0,52.0,74.0,,,36.0,,73.0,,,,,,62.0,62.0,,,59.0,61.0,70.0,,,46.0,74.0,,,74.0,,,58.0,54.0,57.0,,,,57.0,57.0,,,,65.0,,77.0,73.0,,,81.0,,,,70.0,60.0,61.0,,54.0,,,,,,70.0,95.0,,63.0,74.0,,71.0,,,63.0,,43.0,,56.0,66.0,45.0,,60.0,59.0,69.0,,,82.0,,,,42.0,47.0,60.0,70.0,,71.0,,69.0,,,68.0,64.0,72.0,,,,71.0,55.0,69.0,48.0,,,58.0,61.0,72.0,46.0,,70.0,69.0,,,70.0,70.0,90.0,72.0,76.0,,,78.0,,,58.0,87.0,
U71606161841792DF73109B,1__1000_km_1__621_mi,18.0,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,,,indoor_dark,2024,once_a_month_to_once_a_week,,41,male,public_transportation,desktop_keyboard,83.0,63.0,,,71.0,,,70.0,,,,74.0,,,63.0,,,66.0,,66.0,66.0,79.0,67.0,73.0,95.0,,67.0,,65.0,,,,71.0,,71.0,77.0,,68.0,,,,,86.0,,73.0,66.0,,66.0,72.0,73.0,,,70.0,,,70.0,,,73.0,71.0,66.0,,66.0,68.0,,,,73.0,69.0,,,61.0,,,66.0,,79.0,74.0,,67.0,,,93.0,65.0,,,72.0,63.0,68.0,71.0,,73.0,,66.0,69.0,,70.0,61.0,66.0,70.0,,73.0,,89.0,72.0,77.0,,,65.0,,64.0,,,,,80.0,69.0,61.0,68.0,,79.0,65.0,67.0,76.0,,,,,71.0,71.0,,,,71.0,67.0,,71.0,,,,73.0,,,,78.0,89.0,67.0,54.0,68.0,73.0,,,64.0,,,,,,66.0,,,74.0,83.0,65.0,,,,73.0,,,66.0,70.0,,71.0,,,,,,,,92.0,68.0,86.0,,80.0,,88.0,90.0,,80.0,,,68.0,,58.0,,60.0,,,77.0,,65.0,,,,,71.0,,
U71606161906536DF96779B,15001__20000_km_9322__12427_mi,30.0,yes,0,1_to_3_times_per_month,4_to_6_times_per_month,1_to_3_times_per_month,4_to_6_times_per_month,1_to_3_times_per_month,0_times_per_month,0_times_per_month,,,indoor_dark,2040,1_to_3_days_a_week,no,39,male,private_vehicle,laptop_keyboard,,24.0,,,,25.0,,,21.0,26.0,,30.0,15.0,,,31.0,24.0,,27.0,22.0,21.0,33.0,33.0,,,,,20.0,,,,,31.0,29.0,,23.0,26.0,,,20.0,22.0,,22.0,,26.0,,,,28.0,,,32.0,,,25.0,,0.0,,,,,,,34.0,27.0,,,,25.0,,27.0,,,,,,23.0,30.0,20.0,25.0,29.0,,,19.0,,,,,,,27.0,7.0,,34.0,29.0,30.0,,13.0,31.0,22.0,,,,23.0,18.0,,,,,31.0,,57.0,,,26.0,28.0,,29.0,,,25.0,29.0,2.0,25.0,,28.0,,54.0,,29.0,25.0,21.0,22.0,,,21.0,,,19.0,,,,25.0,39.0,33.0,25.0,20.0,,,27.0,33.0,24.0,,,,16.0,28.0,26.0,34.0,21.0,,,,,,,20.0,19.0,,,26.0,64.0,27.0,15.0,,,,16.0,19.0,19.0,,22.0,,,25.0,,,,,,,,,17.0,83.0,,31.0,,26.0,59.0,23.0,33.0,37.0,20.0,,8.0,23.0,25.0,,0.0
U71606161969862DF87559B,1001__5000_km_622__3107_mi,19.0,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,,,indoor_dimlight,2020,every_day,,35,male,private_vehicle,laptop_keyboard,,,,67.0,0.0,,20.0,28.0,,24.0,34.0,61.0,38.0,,,22.0,56.0,26.0,,,72.0,,,,,,14.0,63.0,,21.0,65.0,25.0,,,,,,37.0,30.0,,,,,,,,,31.0,,24.0,,65.0,27.0,,,,,18.0,13.0,,25.0,,,29.0,62.0,25.0,,,,6.0,32.0,,,61.0,,15.0,24.0,62.0,,34.0,63.0,24.0,33.0,29.0,,24.0,,,,21.0,,34.0,29.0,69.0,30.0,,,,68.0,,54.0,29.0,,21.0,,,25.0,,63.0,,,,,33.0,,,,,,21.0,28.0,66.0,39.0,,69.0,63.0,,,29.0,23.0,,87.0,28.0,24.0,,,,59.0,,43.0,,,38.0,,32.0,0.0,19.0,,,30.0,63.0,19.0,,,17.0,,,59.0,,,11.0,37.0,,64.0,13.0,,,,,23.0,,31.0,30.0,61.0,,,36.0,,,,,17.0,30.0,,0.0,,47.0,,69.0,,,,61.0,22.0,65.0,,,,,,61.0,39.0,61.0,69.0,30.0,,31.0,59.0,,57.0
U71606161799580DF82449B,50001__100000_km_31070__62137_mi,18.0,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,,,indoor_brightlight,2050,every_day,speed should be no more than 60 km / h,50,male,private_vehicle,laptop_keyboard,6.0,10.0,,29.0,,3.0,0.0,25.0,14.0,6.0,,,,,,,9.0,,,,17.0,11.0,,1.0,10.0,,,14.0,16.0,8.0,,,,,17.0,,,8.0,,,19.0,19.0,,2.0,,16.0,0.0,6.0,17.0,6.0,10.0,,,,27.0,9.0,5.0,10.0,11.0,14.0,,10.0,,,5.0,,1.0,13.0,,,,,11.0,,5.0,12.0,11.0,15.0,11.0,13.0,,12.0,,,,5.0,9.0,,,12.0,22.0,,0.0,11.0,9.0,13.0,6.0,63.0,31.0,,,,13.0,,,,,,,39.0,10.0,28.0,27.0,11.0,,12.0,,,15.0,,,,11.0,,,,13.0,,,3.0,,,,,,11.0,,27.0,18.0,,,,,,,,,,27.0,24.0,,12.0,,10.0,13.0,,10.0,,,8.0,,,39.0,,8.0,15.0,,11.0,14.0,20.0,,27.0,,,,3.0,14.0,30.0,,10.0,10.0,3.0,15.0,,,,,,,,,,,,68.0,2.0,,19.0,8.0,,24.0,,,,,,15.0,14.0,11.0,7.0
U71606161731402DF64179B,1001__5000_km_622__3107_mi,26.0,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,,,indoor_brightlight,not sure,1_to_3_days_a_week,,26,female,private_vehicle,laptop_keyboard,,7.0,,10.0,,,,,,19.0,,,,0.0,5.0,8.0,1.0,11.0,0.0,0.0,,0.0,,,,10.0,5.0,,0.0,0.0,19.0,,,11.0,,0.0,9.0,8.0,,,12.0,,0.0,,,,0.0,,0.0,50.0,,10.0,18.0,0.0,,0.0,,,7.0,10.0,,8.0,,9.0,0.0,,3.0,,11.0,5.0,,,,,7.0,,,12.0,0.0,,,0.0,,12.0,10.0,,,0.0,5.0,,,,9.0,10.0,9.0,,,,0.0,9.0,10.0,,0.0,0.0,,40.0,,,,6.0,28.0,,,0.0,7.0,5.0,,20.0,,0.0,8.0,1.0,,0.0,7.0,,,10.0,,,30.0,,,54.0,,20.0,,,,11.0,,4.0,10.0,19.0,,0.0,,,8.0,0.0,,,,,,,,,10.0,,,0.0,0.0,9.0,11.0,0.0,,,,0.0,,,4.0,0.0,20.0,7.0,,,11.0,19.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,19.0,,,,,,,,,,12.0,20.0,,,0.0,0.0,,0.0
U71606161921883DF25759B,15001__20000_km_9322__12427_mi,18.0,yes,0,7_to_9_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,7_to_9_times_per_month,0_times_per_month,,,indoor_dimlight,2050,4_to_6_days_a_week,,27,male,private_vehicle,desktop_keyboard,9.0,,18.0,,2.0,,,27.0,,4.0,,66.0,,,,41.0,58.0,1.0,45.0,,,,56.0,,,60.0,,,33.0,,57.0,,57.0,56.0,43.0,,24.0,5.0,17.0,,,61.0,,,7.0,0.0,,20.0,,22.0,29.0,56.0,28.0,,,,25.0,,,5.0,,15.0,,19.0,21.0,,59.0,18.0,60.0,,30.0,41.0,13.0,30.0,,,,61.0,,,,,,4.0,52.0,13.0,,,13.0,,,,43.0,55.0,,,0.0,,,,,8.0,,,36.0,,2.0,25.0,61.0,,,56.0,57.0,,66.0,14.0,,18.0,37.0,,,20.0,9.0,,,0.0,,,,6.0,15.0,,14.0,31.0,,,58.0,52.0,9.0,,39.0,,62.0,,13.0,,,25.0,,32.0,,,5.0,,,,,,12.0,20.0,,3.0,,40.0,,,58.0,,57.0,40.0,0.0,2.0,14.0,,,,40.0,24.0,0.0,62.0,0.0,9.0,,,20.0,59.0,47.0,,30.0,,,,59.0,,54.0,,,,,36.0,,57.0,40.0,,,,,,,
U71606162083423DF28319B,20001__25000_km_12428__15534_mi,,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,,,indoor_brightlight,2050,4_to_6_days_a_week,preventing accindent signalization system,34,male,private_vehicle,laptop_keyboard,70.0,,,,,,,,45.0,,,65.0,69.0,63.0,64.0,61.0,,,,,73.0,,35.0,,,,61.0,69.0,73.0,,,67.0,,71.0,,65.0,35.0,66.0,74.0,,55.0,47.0,68.0,,,,,,,56.0,,68.0,71.0,71.0,,,,,68.0,,57.0,60.0,,,,,72.0,,70.0,75.0,25.0,,69.0,68.0,,,,54.0,,,72.0,,,,,,,,85.0,,,57.0,54.0,,,,83.0,69.0,,61.0,64.0,,67.0,,,,62.0,67.0,91.0,65.0,,,,60.0,,71.0,,67.0,,54.0,60.0,,,66.0,,30.0,17.0,29.0,66.0,,,86.0,41.0,63.0,,,72.0,,,,63.0,59.0,,45.0,72.0,55.0,63.0,,,68.0,57.0,68.0,71.0,47.0,,64.0,,76.0,68.0,,24.0,,60.0,,57.0,,,,,80.0,67.0,,61.0,,78.0,,68.0,65.0,,,75.0,,66.0,,,,,67.0,17.0,,,,,57.0,,67.0,68.0,,81.0,73.0,,,84.0,,64.0,70.0,49.0,69.0,65.0,
U71606161848845DF74379B,0_km__mi,,yes,0,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,0_times_per_month,,,indoor_brightlight,2040,never,,21,male,public_transportation,laptop_keyboard,,50.0,75.0,,34.0,,,,,50.0,,50.0,50.0,50.0,60.0,18.0,,,,,91.0,,50.0,12.0,,,50.0,80.0,50.0,,50.0,,50.0,40.0,,60.0,,80.0,,71.0,,,,,,,,,40.0,,50.0,,61.0,50.0,60.0,48.0,,,60.0,,,,60.0,50.0,,17.0,50.0,,,50.0,,,,,46.0,19.0,,,,40.0,,,,50.0,80.0,,,50.0,,33.0,40.0,50.0,40.0,,,,,,,,50.0,16.0,,36.0,,80.0,8.0,39.0,60.0,,,,,49.0,,,,,39.0,6.0,40.0,,50.0,,,69.0,27.0,,,,40.0,,,,,80.0,,,50.0,40.0,29.0,50.0,,,50.0,12.0,,,36.0,50.0,,,,30.0,,,,,50.0,,26.0,50.0,50.0,,,,50.0,50.0,,50.0,40.0,65.0,80.0,40.0,50.0,,22.0,,9.0,,,9.0,46.0,50.0,,50.0,,,74.0,,,50.0,50.0,50.0,50.0,50.0,,33.0,,,,,60.0,,,,50.0,40.0,,
